measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2014,0.00564324793,0.025650415839999996,-0.00174604061
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2014,0.0041092770599999995,0.018695344,-0.00125361208
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2015,0.0130272025785521,0.0576220675793319,-0.0040205833308554
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2015,0.007879793947555,0.0351636558593254,-0.0023900622761389
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2015,0.0009578927141529,0.0040965863409706,-0.0002960477085583
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2015,0.0012207277271906,0.0052979838744383,-0.0003568260349726
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2015,0.00558202216,0.0246904626,-0.0017227785600000003
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2015,0.00420027581,0.01874377097,-0.00127400803
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2016,0.0118096578346859,0.0505870182600551,-0.0037553334768595
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2016,0.0074887737268327,0.0316525175884722,-0.0023263672237516
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2016,0.0009537122088236,0.0038722603655254,-0.0002899427456367
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2016,0.001250933546743,0.0052332861197035,-0.00036515392309
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2016,0.00536716444,0.02299040745,-0.0017066956999999998
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2016,0.00411008303,0.01737193301,-0.00127678613
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2017,0.0105931813716103,0.045703787649681,-0.003471937516172
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2017,0.0072699417975387,0.0326970547306477,-0.002195611513602
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2017,0.0009467744535874,0.0036211640680212,-0.0002879135295775
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2017,0.0012616209278119,0.0055835545623651,-0.0003604109540196
