Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Belarus,2021,All ages,Both,Neoplasms,"Deaths per 100,000",216.39971386758256,178.6602421653998,258.24269741707997
Belize,2021,All ages,Both,Neoplasms,"Deaths per 100,000",67.709075008556,60.495634667733825,75.91716730634012
Bermuda,2021,All ages,Both,Neoplasms,"Deaths per 100,000",286.9969387149194,247.32040318902398,345.7649763074688
Bolivia (Plurinational State of),2021,All ages,Both,Neoplasms,"Deaths per 100,000",115.71345632711858,89.26407264661843,151.49076615644876
Brazil,2021,All ages,Both,Neoplasms,"Deaths per 100,000",125.4602639609999,117.2860758566233,130.8097081377015
Barbados,2021,All ages,Both,Neoplasms,"Deaths per 100,000",252.27190645752293,203.9038387805546,304.86589923159073
Brunei Darussalam,2021,All ages,Both,Neoplasms,"Deaths per 100,000",99.62564579118565,87.30651057732439,112.81357634113805
Bhutan,2021,All ages,Both,Neoplasms,"Deaths per 100,000",54.197729653589526,42.280902673749885,68.32553946871515
Botswana,2021,All ages,Both,Neoplasms,"Deaths per 100,000",72.11587196860873,56.98143221535356,91.33932734010683
Central African Republic,2021,All ages,Both,Neoplasms,"Deaths per 100,000",49.52230753648492,37.64309763587452,64.35496756171004
Canada,2021,All ages,Both,Neoplasms,"Deaths per 100,000",234.9364145444826,214.83757920365255,249.09505269382444
Switzerland,2021,All ages,Both,Neoplasms,"Deaths per 100,000",214.50982667078097,187.3291731402673,230.1641365496015
Chile,2021,All ages,Both,Neoplasms,"Deaths per 100,000",156.47907146198258,143.67021997056972,164.79350223113227
Côte d'Ivoire,2021,All ages,Both,Neoplasms,"Deaths per 100,000",29.201791115880845,21.7255183699152,37.98216907190188
Cameroon,2021,All ages,Both,Neoplasms,"Deaths per 100,000",41.005184342780794,30.37921847504747,53.92628000589413
Democratic Republic of the Congo,2021,All ages,Both,Neoplasms,"Deaths per 100,000",38.2263752450204,29.214837217384865,49.25811833578641
Congo,2021,All ages,Both,Neoplasms,"Deaths per 100,000",63.658525921368465,48.69762382023967,82.99448402444341
Cook Islands,2021,All ages,Both,Neoplasms,"Deaths per 100,000",172.70516039681382,146.70849984711623,202.7587573391085
Colombia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",106.49102420573311,89.36754539225169,125.42909251170508
Comoros,2021,All ages,Both,Neoplasms,"Deaths per 100,000",79.46715734893935,63.5635199032153,100.85593420642964
Cabo Verde,2021,All ages,Both,Neoplasms,"Deaths per 100,000",114.3848062425172,91.41877751804336,136.7170556663862
Costa Rica,2021,All ages,Both,Neoplasms,"Deaths per 100,000",131.12789858513517,116.30952339447974,145.52833878805626
Cuba,2021,All ages,Both,Neoplasms,"Deaths per 100,000",248.7356058680392,218.43620114910522,279.2363151380174
Cyprus,2021,All ages,Both,Neoplasms,"Deaths per 100,000",161.77747495376173,141.26829192332076,183.18094887577763
Czechia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",290.78926467709925,255.85101870462617,325.4462178033077
Germany,2021,All ages,Both,Neoplasms,"Deaths per 100,000",302.09409919058083,272.19555914094997,321.2779633113202
Djibouti,2021,All ages,Both,Neoplasms,"Deaths per 100,000",63.51953390564908,45.933006125552374,89.51208277827405
Dominica,2021,All ages,Both,Neoplasms,"Deaths per 100,000",199.002396402884,172.27348750496049,233.6389899802998
Denmark,2021,All ages,Both,Neoplasms,"Deaths per 100,000",310.75491229809785,282.5202052544779,328.0561913345335
Dominican Republic,2021,All ages,Both,Neoplasms,"Deaths per 100,000",86.25354983530364,68.79775371697569,108.86213038318861
Algeria,2021,All ages,Both,Neoplasms,"Deaths per 100,000",38.3916344439316,32.07877718229225,46.1024004086622
Ecuador,2021,All ages,Both,Neoplasms,"Deaths per 100,000",93.94022195017283,75.67120170622597,115.5131900724485
Eritrea,2021,All ages,Both,Neoplasms,"Deaths per 100,000",61.06762062229733,46.01728041122153,78.87811417557545
Spain,2021,All ages,Both,Neoplasms,"Deaths per 100,000",259.2348306018667,229.7378470588636,275.6597451237135
Estonia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",289.5858191036191,250.58712728803482,321.15753823813924
Ethiopia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",43.47738667643537,36.893664753581035,51.163084536983526
Finland,2021,All ages,Both,Neoplasms,"Deaths per 100,000",259.0647201618398,229.37109000790502,276.54705031372316
Fiji,2021,All ages,Both,Neoplasms,"Deaths per 100,000",82.71933924937737,63.19275893357509,106.54282929888709
France,2021,All ages,Both,Neoplasms,"Deaths per 100,000",290.14463400769205,258.38381327267507,308.49370334006477
Micronesia (Federated States of),2021,All ages,Both,Neoplasms,"Deaths per 100,000",93.46806448694727,72.40146599642078,118.62474993519461
Gabon,2021,All ages,Both,Neoplasms,"Deaths per 100,000",73.84772275346306,55.82693633764015,93.55019256746172
United Kingdom,2021,All ages,Both,Neoplasms,"Deaths per 100,000",276.0429779028916,250.09995575458436,288.1200844583691
Georgia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",240.28673262875455,216.61056751209628,266.2969708469566
Ghana,2021,All ages,Both,Neoplasms,"Deaths per 100,000",43.645803349601906,34.437106480697935,53.277185248532746
Guinea,2021,All ages,Both,Neoplasms,"Deaths per 100,000",44.275918502165794,33.922200049284285,56.62377350767488
Gambia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",35.92065746002215,26.76249122080529,46.436175580415224
Guinea-Bissau,2021,All ages,Both,Neoplasms,"Deaths per 100,000",46.586233459104285,36.3735839800286,56.39694399147243
Equatorial Guinea,2021,All ages,Both,Neoplasms,"Deaths per 100,000",39.43523367252121,26.89991311876084,55.98266059237693
Greece,2021,All ages,Both,Neoplasms,"Deaths per 100,000",349.5446341705527,314.02235292663346,370.03099670679126
Grenada,2021,All ages,Both,Neoplasms,"Deaths per 100,000",170.6563556261769,150.48973413667142,191.33505124532655
Greenland,2021,All ages,Both,Neoplasms,"Deaths per 100,000",232.7460385735422,202.58343158303205,269.1737662508374
Guatemala,2021,All ages,Both,Neoplasms,"Deaths per 100,000",65.08387037526256,56.443884631145906,74.55472804318289
Guam,2021,All ages,Both,Neoplasms,"Deaths per 100,000",108.51380950291744,94.13357278018658,120.6345974527577
Guyana,2021,All ages,Both,Neoplasms,"Deaths per 100,000",93.4753742117113,73.54033769386479,117.96707098616127
Honduras,2021,All ages,Both,Neoplasms,"Deaths per 100,000",71.29543535019333,59.5129844275439,88.39109362884193
Croatia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",338.16790088023083,299.54915672812234,376.4164969922282
