Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Guinea,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",30.038606591657448,23.111493042858104,38.53727956007507
Gambia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",29.041295284210833,20.886959082797453,37.5174331273387
Guinea-Bissau,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",36.14584524296355,26.14035320694536,46.6664698541825
Equatorial Guinea,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",17.01875782266913,10.592449034265504,25.876252562122364
Greece,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",43.47103580216352,37.74729108473356,47.13121947526093
Grenada,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",33.01424481897982,28.202314006967683,37.417881648127604
Greenland,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",37.37000870092645,30.940894766744808,45.55482015370783
Guatemala,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",47.39558829960765,40.75999044729241,54.3697551064916
Guam,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",24.145296064311484,21.08686363394962,27.17577791379859
Guyana,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",48.13539477741551,37.734928898745544,61.778660430066004
Honduras,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",45.30918960398987,28.738176793028643,64.12930143839698
Croatia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",52.41917622575046,46.571698467133324,57.84614027979585
Haiti,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",39.01341665560357,26.72409077551442,54.3862935791064
Hungary,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",64.54426964686819,56.878935958074514,71.87916310759655
Indonesia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",50.551240653376645,41.551309361543616,60.00826389372013
India,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",31.978848838982717,22.830021171900498,40.93166793099058
Ireland,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",19.626547582549073,17.314383080232485,21.31526729987816
Iran (Islamic Republic of),2021,All ages,Both,Digestive diseases,"Deaths per 100,000",11.780791300440612,10.203634466798976,14.176518843526091
Iraq,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",9.707715778481148,7.221895087373959,12.233592623178133
Iceland,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",20.784701122824025,17.55804433299518,23.294425821710682
Israel,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",19.31225998170504,16.3335706095171,21.121985996019088
Italy,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",43.8923928977396,36.828033586077694,47.71947259171302
Jamaica,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",17.242071432812367,13.200140066209936,22.098151551386483
Jordan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",7.796484759611282,6.25388591481067,9.505471517517773
Japan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",47.544463370892906,38.35613402743546,52.827748472881424
Kazakhstan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",50.19069883461123,43.6713599843819,59.024414067823955
Kenya,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",37.72817218270124,27.06989196925314,54.16997724029791
Kyrgyzstan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",33.25162648028701,27.720846614754947,38.85366300181039
Cambodia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",70.76167518914409,51.98512082487758,89.9411362992317
Kiribati,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",36.63465626691365,27.80565477085848,48.84017097346751
Saint Kitts and Nevis,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",38.04691927024831,29.932156909194536,44.93378038585903
Republic of Korea,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",31.271408120150657,27.068412064817963,37.11275216108498
Kuwait,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",6.7763720110422065,5.488624465261805,8.172424307330546
Lao People's Democratic Republic,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",33.003036403720145,23.98600556964749,46.90781455595498
Lebanon,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",23.425445692855142,19.825662138630108,28.14323833355588
Liberia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",28.01970524379215,19.181304194930615,39.60869402197523
Libya,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",20.624535437429294,13.381750869535361,32.60811499740097
Saint Lucia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",35.601399306177356,28.873680418867366,42.54668086865106
Sri Lanka,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",20.4773087045812,13.636340336057527,28.4673175574465
Lesotho,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",42.92720051245019,31.342545091289264,55.37023024518584
Lithuania,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",69.58887537566643,62.266044997879305,76.58487917231021
Luxembourg,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",33.27159936966193,29.42209270996514,36.9870333903758
Latvia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",55.78705337336762,49.51489471240251,61.531689855732324
Morocco,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",20.0516387707745,14.693436252710532,25.589365308576173
Monaco,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",50.30990699935553,40.142370842705006,60.46475228901879
Republic of Moldova,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",102.7446873101524,93.23564245754214,113.34891877668178
Madagascar,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",27.922936647045866,19.298916092940736,43.69577440074005
Maldives,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",9.31520475937684,7.5749713412042805,11.150296579955606
Mexico,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",54.8452469229198,47.78567415416079,61.8678758553733
Marshall Islands,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",31.479702257339607,21.46268735799933,43.09975234127611
North Macedonia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",23.913091860091537,18.889093981268232,29.62405869603116
Mali,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",28.44115592375497,22.33099439603154,36.195751363768395
Malta,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",28.620470691162524,24.57398146011197,31.703042263854666
Myanmar,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",42.305700344440474,33.521304676896264,52.92416434017461
Montenegro,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",26.961667985898284,22.461605275794746,32.47473728437379
Mongolia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",38.05863017734643,32.54421201906156,43.98472495821858
Northern Mariana Islands,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",34.71772704799857,30.286088841022003,38.215128011198956
Mozambique,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",23.281781431191877,17.973850363681045,29.15709572894463
Mauritania,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",24.518068370887892,18.162303914807765,34.25594835306129
Mauritius,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",29.661686398851238,27.586369206572492,31.161540272709658
Malawi,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",34.987625502227935,28.0601297636535,43.033220572862874
Malaysia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",32.09177965001973,27.337694443860542,35.78694388516052
Namibia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",31.041873217994176,22.487760510272004,43.69255772207919
Niger,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",27.075996492915014,17.817335588771193,42.64540101466686
Nigeria,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",22.50699906957383,15.838957016605965,30.551086299385048
Nicaragua,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",24.866955724393673,21.03949391344522,29.686769681337243
Niue,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",38.445143504335334,29.197911434143652,47.65096436140324
Netherlands,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",34.81252911202063,29.997210457888045,37.83213154340468
Norway,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",25.747110060580045,22.28713030649323,27.715089397861128
Nepal,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",36.711142786944876,27.273308099825215,48.218999055690844
Nauru,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",27.469330190453004,14.672195061850523,38.76788441254477
New Zealand,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",20.33316580776812,17.579691911411505,22.096593363611877
Oman,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",6.719764570550118,5.192654439134274,8.882835225215393
Pakistan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",26.428558231434938,19.243078764264375,33.28985222065307
Panama,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",21.332875839384013,16.89081774468766,25.474678983201077
Peru,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",34.46667052488463,26.652083506431268,43.29565376173986
Philippines,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",25.028640250469017,21.04919886348526,29.400922606986082
Palau,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",34.50250807964698,25.18076647777366,44.625512697971544
Papua New Guinea,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",10.246660058396856,8.118273966471826,12.823508942225061
Poland,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",53.23248673405238,48.506578856213864,57.44994143461
Puerto Rico,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",42.84532054675681,35.777842072235195,50.04683922834709
Democratic People's Republic of Korea,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",31.033672594642805,21.24367891652181,42.22068872677854
